Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Fernando Abad*,37,COL,NL,1,0,1.000,4.26,6,0,2,0,0,0,6.1,11,3,3,2,3,0,2,0,0,0,32,124,8.18,2.211,15.6,2.8,4.3,2.8,0.67,abadfe01
2,Andrew Abbott*,24,CIN,NL,6,2,.750,1.90,10,10,0,0,0,0,61.2,40,13,13,8,19,0,66,0,1,0,237,250,3.75,0.957,5.8,1.2,2.8,9.6,3.47,abbotan01
3,Cory Abbott,27,WSN,NL,0,1,.000,5.91,11,0,7,0,0,0,21.1,23,14,14,4,11,0,17,2,1,2,95,72,5.96,1.594,9.7,1.7,4.6,7.2,1.55,abbotco01
4,Albert Abreu,27,NYY,AL,2,2,.500,4.07,34,0,14,0,0,0,42.0,34,26,19,6,22,1,47,4,0,2,186,105,4.76,1.333,7.3,1.3,4.7,10.1,2.14,abreual01
5,Bryan Abreu,26,HOU,AL,3,2,.600,2.61,49,0,12,0,0,3,48.1,35,17,14,6,19,0,73,3,0,1,199,163,3.24,1.117,6.5,1.1,3.5,13.6,3.84,abreubr01
6,Domingo Acevedo,29,OAK,AL,0,0,,10.61,9,0,1,0,0,0,9.1,16,11,11,2,2,1,7,1,0,1,47,40,5.53,1.929,15.4,1.9,1.9,6.8,3.50,acevedo01
7,Garrett Acton,25,OAK,AL,0,0,,12.71,6,0,3,0,0,0,5.2,9,8,8,3,5,2,5,1,0,0,32,34,11.58,2.471,14.3,4.8,7.9,7.9,1.00,actonga01
8,Jason Adam,31,TBR,AL,2,2,.500,2.57,44,0,18,0,0,11,42.0,27,15,12,4,16,0,52,9,0,0,176,161,3.83,1.024,5.8,0.9,3.4,11.1,3.25,adamja01
9,Austin Adams,32,ARI,NL,0,1,.000,5.87,21,0,1,0,0,0,15.1,13,11,10,1,6,0,18,4,0,2,69,75,3.74,1.239,7.6,0.6,3.5,10.6,3.00,adamsau02
10,Ty Adcock,26,SEA,AL,0,0,,3.45,12,0,4,0,0,0,15.2,11,7,6,4,0,0,11,0,0,0,58,121,5.20,0.702,6.3,2.3,0.0,6.3,,adcocty01
11,Joan Adon,24,WSN,NL,0,0,,5.40,2,0,2,0,0,0,5.0,3,3,3,2,2,0,4,0,0,1,20,83,8.08,1.000,5.4,3.6,3.6,7.2,2.00,adonjo01
12,Keegan Akin*,28,BAL,AL,2,2,.500,6.85,24,1,7,0,0,0,23.2,35,22,18,2,7,2,27,0,0,2,112,62,2.99,1.775,13.3,0.8,2.7,10.3,3.86,akinke01
13,Hanser Alberto,30,CHW,AL,0,0,,21.60,2,0,2,0,0,0,1.2,6,4,4,1,1,0,1,0,0,0,12,25,11.68,4.200,32.4,5.4,5.4,5.4,1.00,alberha01
14,Jorge Alcala,27,MIN,AL,0,1,.000,6.46,10,0,3,0,0,0,15.1,13,12,11,4,8,0,12,1,0,0,66,68,6.87,1.370,7.6,2.3,4.7,7.0,1.50,alcaljo01
15,Sandy Alcantara,27,MIA,NL,4,9,.308,4.46,21,21,0,2,1,0,135.1,131,70,67,14,37,0,113,4,0,4,564,97,3.87,1.241,8.7,0.9,2.5,7.5,3.05,alcansa01
16,Scott Alexander*,33,SFG,NL,6,1,.857,3.41,34,2,6,0,0,1,29.0,24,13,11,1,6,1,16,1,0,3,117,127,3.35,1.034,7.4,0.3,1.9,5.0,2.67,alexasc02
17,Tyler Alexander*,28,DET,AL,2,1,.667,4.50,25,1,8,0,0,0,44.0,44,25,22,8,5,0,44,2,0,0,181,98,4.12,1.114,9.0,1.6,1.0,9.0,8.80,alexaty01
18,Kolby Allard*,25,ATL,NL,0,1,.000,6.57,4,3,1,0,0,0,12.1,16,9,9,2,4,0,13,0,0,1,56,70,4.26,1.622,11.7,1.5,2.9,9.5,3.25,allarko01
19,Logan Allen*,24,CLE,AL,4,3,.571,3.39,14,14,0,0,0,0,74.1,74,30,28,8,25,0,76,1,0,1,321,123,3.69,1.332,9.0,1.0,3.0,9.2,3.04,allenlo02
20,Yency Almonte,29,LAD,NL,3,1,.750,4.43,44,0,4,0,0,0,42.2,36,24,21,5,16,1,42,3,0,2,178,100,4.17,1.219,7.6,1.1,3.4,8.9,2.63,almonye01
21,José Alvarado*,28,PHI,NL,0,0,,1.38,26,0,7,0,0,6,26.0,21,7,4,2,9,1,39,0,0,2,107,313,2.32,1.154,7.3,0.7,3.1,13.5,4.33,alvarjo03
22,Adbert Alzolay,28,CHC,NL,1,4,.200,2.40,39,0,21,0,0,11,45.0,35,15,12,3,7,0,51,3,1,0,174,185,2.55,0.933,7.0,0.6,1.4,10.2,7.29,alzolad01
23,Chase Anderson,35,TOT,MLB,0,4,.000,6.08,14,12,2,0,0,1,60.2,70,41,41,14,20,0,44,6,0,0,268,82,6.12,1.484,10.4,2.1,3.0,6.5,2.20,anderch01
24,Chase Anderson,35,TBR,AL,0,0,,0.00,2,0,2,0,0,1,5.0,2,0,0,0,1,0,2,0,0,0,18,,3.08,0.600,3.6,0.0,1.8,3.6,2.00,anderch01
25,Chase Anderson,35,COL,NL,0,4,.000,6.63,12,12,0,0,0,0,55.2,68,41,41,14,19,0,42,6,0,0,250,76,6.39,1.563,11.0,2.3,3.1,6.8,2.21,anderch01
26,Grant Anderson,26,TEX,AL,1,1,.500,5.20,19,0,2,0,0,0,27.2,29,16,16,3,7,0,26,1,0,0,116,85,3.68,1.301,9.4,1.0,2.3,8.5,3.71,andergr01
27,Nick Anderson,32,ATL,NL,4,0,1.000,3.06,35,0,3,0,0,1,35.1,30,14,12,3,9,0,36,0,0,1,141,149,3.11,1.104,7.6,0.8,2.3,9.2,4.00,anderni01
28,Tyler Anderson*,33,LAA,AL,5,2,.714,5.23,18,17,0,0,0,0,93.0,104,56,54,11,40,0,78,4,1,4,420,85,4.56,1.548,10.1,1.1,3.9,7.5,1.95,anderty01
