Rk,Name,Age,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,-9999
1,Fernando Abad*,37,COL,.379,.438,.655,1.093,.360,6.3%,6.3%,9.4%,88.4,40.7%,25.9%,37.0%,33.3%,0.59,0.0,0.0%,-1.0,abadfe01
2,Andrew Abbott*,24,CIN,.184,.249,.332,.581,.222,3.4%,27.9%,8.0%,89.9,42.1%,25.0%,24.3%,40.1%,0.33,2.0,1.3%,20.2,abbotan01
3,Cory Abbott,27,WSN,.288,.379,.463,.841,.311,4.2%,17.9%,11.6%,89.3,37.5%,26.2%,44.6%,23.1%,0.81,-0.6,0.0%,-5.6,abbotco01
4,Albert Abreu,27,NYY,.214,.323,.377,.700,.262,3.2%,25.3%,11.8%,89.5,41.4%,18.6%,46.9%,28.3%,0.88,0.2,0.0%,-5.5,abreual01
5,Bryan Abreu,26,HOU,.202,.289,.347,.636,.302,3.0%,36.7%,9.6%,89.7,35.6%,29.8%,36.5%,27.9%,0.59,0.4,0.2%,9.4,abreubr01
6,Domingo Acevedo,29,OAK,.381,.404,.738,1.142,.400,4.3%,14.9%,4.3%,88.2,32.4%,43.2%,24.3%,29.7%,0.32,-1.2,-0.5%,-9.7,acevedo01
7,Garrett Acton,25,OAK,.346,.469,.846,1.315,.333,9.4%,15.6%,15.6%,90.1,38.1%,19.0%,33.3%,38.1%,0.50,-0.5,0.0%,-5.8,actonga01
8,Jason Adam,31,TBR,.179,.295,.298,.593,.242,2.3%,29.6%,9.1%,86.0,38.4%,19.2%,42.4%,26.3%,0.75,0.5,0.4%,5.3,adamja01
9,Austin Adams,32,ARI,.220,.333,.288,.621,.300,1.5%,26.1%,8.7%,83.8,34.1%,22.0%,39.0%,26.8%,0.64,-0.4,-0.3%,0.0,adamsau02
10,Ty Adcock,26,SEA,.190,.190,.448,.638,.163,6.9%,19.0%,0.0%,89.0,51.1%,27.7%,36.2%,29.8%,0.59,0.2,0.1%,2.9,adcocty01
11,Joan Adon,24,WSN,.176,.250,.529,.779,.083,10.0%,20.0%,10.0%,92.4,35.7%,7.1%,35.7%,57.1%,0.56,-0.1,0.0%,-0.5,adonjo01
12,Keegan Akin*,28,BAL,.337,.375,.490,.865,.434,1.8%,24.1%,6.3%,90.0,49.4%,29.5%,34.6%,26.9%,0.54,-0.2,-0.1%,-7.5,akinke01
13,Hanser Alberto,30,CHW,.545,.583,.818,1.402,.556,8.3%,8.3%,8.3%,91.1,40.0%,30.0%,30.0%,30.0%,0.43,0.0,0.0%,-3.2,alberha01
14,Jorge Alcala,27,MIN,.232,.333,.500,.833,.220,6.1%,18.2%,12.1%,87.0,34.1%,22.2%,37.8%,37.8%,0.61,-0.1,-0.1%,-3.2,alcaljo01
15,Sandy Alcantara,27,MIA,.254,.307,.388,.695,.298,2.5%,20.0%,6.6%,88.2,40.5%,24.9%,49.6%,20.5%,1.00,-0.6,-0.5%,1.8,alcansa01
16,Scott Alexander*,33,SFG,.220,.267,.294,.561,.250,0.9%,13.7%,5.1%,88.9,36.2%,18.1%,63.8%,14.9%,1.88,1.0,0.6%,8.6,alexasc02
17,Tyler Alexander*,28,DET,.256,.283,.453,.737,.298,4.4%,24.3%,2.8%,88.8,40.6%,24.0%,32.6%,34.9%,0.49,0.4,0.1%,-1.2,alexaty01
18,Kolby Allard*,25,ATL,.308,.357,.481,.838,.378,3.6%,23.2%,7.1%,91.0,43.6%,33.3%,30.8%,30.8%,0.44,-0.2,0.0%,-3.2,allarko01
19,Logan Allen*,24,CLE,.253,.314,.404,.719,.317,2.5%,23.7%,7.8%,87.9,39.4%,26.1%,41.3%,23.4%,0.73,0.1,0.1%,4.5,allenlo02
20,Yency Almonte,29,LAD,.226,.309,.358,.667,.277,2.8%,23.6%,9.0%,87.5,27.6%,23.1%,41.0%,28.2%,0.70,0.6,0.5%,2.4,almonye01
21,José Alvarado*,28,PHI,.216,.283,.340,.623,.339,1.9%,36.5%,8.4%,90.4,45.8%,28.8%,54.2%,10.2%,1.23,1.2,0.6%,7.0,alvarjo03
22,Adbert Alzolay,28,CHC,.217,.260,.323,.583,.294,1.7%,29.3%,4.0%,87.5,31.5%,23.0%,44.2%,23.9%,0.82,1.7,0.7%,13.4,alzolad01
23,Chase Anderson,35,TOT,.293,.360,.519,.878,.306,5.2%,16.4%,7.5%,86.5,32.0%,24.2%,35.9%,34.8%,0.57,-0.4,0.2%,-4.2,anderch01
24,Chase Anderson,35,TBR,.118,.167,.118,.284,.133,0.0%,11.1%,5.6%,84.7,20.0%,6.7%,53.3%,26.7%,1.14,0.1,0.0%,2.5,anderch01
25,Chase Anderson,35,COL,.306,.373,.550,.923,.321,5.6%,16.8%,7.6%,86.7,33.0%,25.7%,34.4%,35.5%,0.53,-0.5,0.2%,-6.6,anderch01
26,Grant Anderson,26,TEX,.271,.319,.411,.730,.329,2.6%,22.4%,6.0%,86.8,31.7%,23.2%,43.9%,23.2%,0.78,-0.5,-0.3%,-2.4,andergr01
27,Nick Anderson,32,ATL,.229,.277,.366,.643,.290,2.1%,25.5%,6.4%,90.8,42.1%,26.0%,40.6%,21.9%,0.68,1.6,1.0%,6.9,anderni01
28,Tyler Anderson*,33,LAA,.283,.354,.460,.815,.326,2.6%,18.6%,9.5%,85.8,31.4%,25.5%,30.9%,34.2%,0.46,-0.9,-0.6%,-4.6,anderty01
29,Clayton Andrews*,26,MIL,.500,.545,.900,1.445,.571,9.1%,18.2%,9.1%,96.2,62.5%,12.5%,62.5%,25.0%,1.67,-0.1,0.0%,-2.8,andrecl02
30,Shawn Armstrong,32,TBR,.191,.240,.270,.509,.258,1.0%,28.1%,5.2%,87.5,33.3%,20.6%,38.1%,31.7%,0.62,0.8,0.4%,10.0,armstsh01
31,Graham Ashcraft,25,CIN,.284,.364,.464,.828,.316,3.4%,16.7%,9.7%,88.5,41.0%,24.6%,48.3%,21.5%,0.94,-0.8,-0.2%,-8.4,ashcrgr01
32,Javier Assad,25,CHC,.246,.324,.407,.732,.283,2.7%,19.1%,10.6%,86.2,36.8%,21.1%,45.9%,24.1%,0.88,-0.2,-0.2%,6.6,assadja01
33,Pedro Avila,26,SDP,.125,.333,.125,.458,.222,0.0%,33.3%,19.1%,77.1,11.1%,22.2%,66.7%,11.1%,2.00,0.1,0.0%,2.7,avilape01
34,Sam Bachman,23,LAA,.262,.377,.292,.669,.333,0.0%,18.2%,14.3%,90.2,41.2%,25.5%,58.8%,13.7%,1.43,0.6,0.4%,3.1,bachmsa01
35,Bryan Baker,28,BAL,.214,.323,.329,.652,.293,1.8%,28.6%,13.7%,89.8,36.5%,25.0%,33.3%,34.4%,0.51,-0.1,-0.2%,0.8,bakerbr01
