Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Name-additional
1,Fernando Abad*,37,COL,6.1,,6,32,29,3,11,2,0,2,1,0,3,2,.379,.438,.655,1.093,.360,19,2,0,0,0,0,0,abadfe01
2,Andrew Abbott*,24,CIN,61.2,,10,237,217,13,40,6,1,8,1,2,19,66,.184,.249,.332,.581,.222,72,3,0,0,1,0,0,abbotan01
3,Cory Abbott,27,WSN,21.1,,11,95,80,14,23,2,0,4,3,1,11,17,.288,.379,.463,.841,.311,37,4,2,0,2,0,0,abbotco01
4,Albert Abreu,27,NYY,42.0,,34,186,159,26,34,8,0,6,3,0,22,47,.214,.323,.377,.700,.262,60,2,4,0,1,1,2,abreual01
5,Bryan Abreu,26,HOU,48.1,,49,199,173,17,35,7,0,6,3,1,19,73,.202,.289,.347,.636,.302,60,3,3,2,2,0,1,abreubr01
6,Domingo Acevedo,29,OAK,9.1,,9,47,42,11,16,5,2,2,2,0,2,7,.381,.404,.738,1.142,.400,31,0,1,0,2,1,0,acevedo01
7,Garrett Acton,25,OAK,5.2,,6,32,26,8,9,4,0,3,0,0,5,5,.346,.469,.846,1.315,.333,22,0,1,0,0,2,0,actonga01
8,Jason Adam,31,TBR,42.0,,44,176,151,15,27,4,1,4,9,0,16,52,.179,.295,.298,.593,.242,45,3,9,0,0,0,0,adamja01
9,Austin Adams,32,ARI,15.1,,21,69,59,11,13,1,0,1,4,0,6,18,.220,.333,.288,.621,.300,17,0,4,0,0,0,0,adamsau02
10,Ty Adcock,26,SEA,15.2,,12,58,58,7,11,1,1,4,1,0,0,11,.190,.190,.448,.638,.163,26,1,0,0,0,0,2,adcocty01
11,Joan Adon,24,WSN,5.0,,2,20,17,3,3,0,0,2,1,0,2,4,.176,.250,.529,.779,.083,9,0,0,0,1,0,0,adonjo01
12,Keegan Akin*,28,BAL,23.2,,24,112,104,22,35,6,2,2,0,2,7,27,.337,.375,.490,.865,.434,51,1,0,0,1,2,1,akinke01
13,Hanser Alberto,30,CHW,1.2,,2,12,11,4,6,0,0,1,0,0,1,1,.545,.583,.818,1.402,.556,9,0,0,0,0,0,0,alberha01
14,Jorge Alcala,27,MIN,15.1,,10,66,56,12,13,3,0,4,2,0,8,12,.232,.333,.500,.833,.220,28,2,1,0,1,0,1,alcaljo01
15,Sandy Alcantara,27,MIA,135.1,,21,564,515,70,131,25,1,14,15,2,37,113,.254,.307,.388,.695,.298,200,10,4,2,5,0,3,alcansa01
16,Scott Alexander*,33,SFG,29.0,,34,117,109,13,24,3,1,1,3,0,6,16,.220,.267,.294,.561,.250,32,3,1,1,0,1,0,alexasc02
